CodigoNave,NombreNave
1,MOL PACE
00LA,LA2524
1409,MAERSK SELETAR
AGROS,AGROS
ALAUA,ALIANCA MAUA
ALDES,ALIANCA ANDES
ALERA,ALIANCA COORDILLERA
ALERS,ALICE RICKMERS
ALESS,ALEMANIA EXPRESS
ALICA,ALLIANCA ATLANTICA
ALICE,ALICE
ALIOT,ALIOT
ALISAN,ALIANCA SAN MARTIN
ALOBO,ALGARROBO
ALPAS,ALIANCA PAMPAS
ALRCA,ALIANCA URCA
ALRTA,ALBERTA
ALULO,ALLIANCA SAO PAULO
AMERXX,AMERICANA 2
AMNA,AMERICANA
ANDGE,ANDES BRIDGE
ANENA,ANAKENA
ANERS,ANDRE RICKMERS
ANGOL,ANGOL
ANLIA,ANGLIA
ANLTE,ANNABELLE SCHULTE
ANNSC,ANNA SCHEPERS
ANOLA,ANGOLA
ANONA,ANCONA
ANTA,ANTARES J
APADE,APL JADE
APBOA,APL BALBOA
APEST,APL EARNEST
APGOS,APL GALAPAGOS
APGUA,APL MANAGUA
APIMA,APL COLIMA
APISE,APL TURQUOISE
APLIND,APL INDONESIA
APLMEL,APL MELBOURNE
APLSHA,APL SHANGHAI
APLXX,APL GARNET
APLXXX,SUSANNE SCHULTE
APMAN,APL OMAN
APMAR,APL OLIMAR
APOZA,APL MENDOZA
APSIA,APL MALAYSIA
APYPT,APL EGYPT
AQNIA,AQUITANIA
ARANA,ARIANA
ARDGE,ARICA BRIDGE
ARIA,ARIAN
ARSOS,ARSOS
ASCA,AS CATALANIA
ASOON,ASIAN MOON
ASSUS,AS PEGASUS
ATENA,ATHENA
AUAND,AUCKLAND
AULTE,AUGUSTE SCHULTE
AUN E,AUTUMN E
BACH,BALTHASAR SCHULTE
BADER,BALTRUM TRADER
BADGE,BAI CHAY BRIDGE
BAHIA,BAHIA
BAKAN,BALKAN
BALLO,BAHIA CASTILLO
BANCA,BAHIA BLANCA
BANDE,BAHIA GRANDE
BAOS,BALTIMAR EUROS
BARR,BARRY
BAURA,BAHIA LAURA
BED S,BERNHARD S
BEICA,BELGICA
BESC,BELLA SCHULTE
BONNY,BONNY
BOSC,BODO SCHULTE
BOTS,BOTSWANA
BRAVO,BRAVO
BRDGE,BROOKLING BRIDGE
BUDGE,BUDAPEST BRIDGE
BUDUA,BUNGA SEROJA DUA
BUITE,BUXFAVOURITE
BUTU,BUNGA SEROJA SATU
CAACU,CAM CGM IGUACU
CAAEL,CAP SAN RAPHAEL
CAALD,CAP HARALD
CAAN,CAP MATAPAN
CAAND,CAP PORTLAND
CAANO,CAP VILANO
CAART,CAP STEWART
CAATO,CAP FERRATO
CABEL,CAP ISABEL
CABON,CAP BON
CACHE,CAP BLANCHE
CACO,CAP CORTES
CAEAL,CAP MONTREAL
CAEAS,CAP MALEAS
CAEGO,CAP MONDEGO
CAELL,CAP CAMPBELL
CAERT,CAP GILBERT
CAEX,CANBERRA EXPRESS
CAGAR,CAP TRAFALGAR
CAGO,CAP DOMINGO
CAGU,CAP AGUILAR
CAHAM,CAP GRAHAM
CAHON,CAPE MAHON
CAINA,CARIBBEAN SINA
CAINO,CALA PINO
CALAS,CAP SAN NICOLAS
CALE,CAP MELVILLE
CALEY,CAP PASLEY
CALLO,CAP CASTILLO
CAMAS,CAP PALMAS
CAMO,CAP MORETON
CANAS,CAP SALINAS
CANCO,CAP. BLANCO
CANES,CAP INES
CANGO,CAP. DOMINGO
CANIO,CAP SAN ANTONIO
CANRI,CAP HENRI
CANTE,CAP VALIENTE
CAOCA,CAP ROCA
CAONT,CAP EGMONT
CAORY,CAP GREGORY
CAOTT,CAP SCOTT
CAPARN,CAP ARNAUTI
CAPSPE,CAP SPENCER
CARAT,CAP SERRAT
CARDA,CAP RICARDA
CARDE,CAP VERDE
CARIO,CAP FRIO
CARON,CAP BYRON
CARRE,CAP FINISTERRE
CARTA,CAP ROBERTA
CASEA,CARIBBEAN SEA
CAST,CAROLINA STAR
CASTA,CAP BONAVISTA
CATAL,CAP TALBOT
CATAR,CARLOTTA STAR
CATE,CAP NORTE
CATIN,CAPE MARTIN
CATO,CAP DOUKATO
CATR,CARDIFF TRADER
CAUEL,CAP MANUEL
CAULA,CALA PULA
CAVIS,CAP JERVIS
CAZUL,CAP AZUL
CCAMA,CCNI ATACAMA
CCAQ,CCNI AQUILES
CCAR,CCNI ARAUCO
CCAS,CCNI PUNTA ARENAS
CCBES,CCNI TUMBES
CCBI,CCNI BILBAO
CCCO,CCNI ANTARTICO
CCCUD,CCNI ANCUD
CCDEO,CCNI AMADEO
CCFL,COSCO FELIXSTOWE
CCGBO,CCNI NINGBO
CCHAI,CCNI SHANGHAI
CCICA,CCNI ARICA
CCICO,CCNI BALTICO
CCINO,CCNI ANDINO
CCISO,CCNI VALPARAISO
CCLBE,CCNI ELBE
CCLLO,CCNI MANZANILLO
CCLMA,CCNI TOPOCALMA
CCMAC,CCNI RIMAC
CCNCA,CCNI ANTILLANCA
CCOL,CCNI ANGOL
CCOS,CCNI POTRERILLOS
CCPU,CCNI PUSAN
CCRAL,CCNI AUSTRAL
CCRES,CCNI CHAGRES
CCRGO,CCNI HAMBURGO
CCSAN,CCNI BUSAN
CCSEN,CCNI AYSEN
CCTA,CCNI ANTOFAGASTA
CCTEN,CCNI TOLTEN
CCUNA,CCNI FORTUNA
CCURE,CCNI VADO LIGURE
CCVER,CCNI VANCOUVER
CCYAS,CCNI GUAYAS
CCYO,CCNI TOKYO
CELST,CELINA STAR
CHERS,CHARLOTTE C. RICKMERS
CHINE,CHRISTINE
CHION,CHAMPION
CHSEA,CHELSEA
CIICA,CIELO D AMERICA
CIMEN,CITY OF XIAMEN
CIOPA,CIELO DE EUROPA
CIQU,CCNI IQUIQUE
CLARY,CLAN LEGIONARY
CLGER,CLAN CHALLENGER
CLGUN,CLAN TANGUN
CLIAN,CLAN PRAETORIAN
CLNAS,CLAN AMAZONAS
CLPID,CLAN INTREPID
CLTOR,CLAN GLADIATOR
CLUNE,CLAN TRIBUNE
CMACU,CMA CGM IGUACU
CMAME,CMA CGM AMERICA
CMAND,CMA CGM AUCKLAND
CMAYO,CMA PAPAGAYO
CMBAR,CMA CGM SAMBHAR
CMCAN,CMA CGM VOLCAN
CMCGOT,CMA CGM OTELLO
CMCGRA,CMA CGM RAVEL
CMDAO,CMA CGM QINGDAO
CMDEL,CMA CGM CLAUDEL
CMDER,CMA CGM BALTRUM TRADER
CMDOR,CMA CGM CONDOR
CMERA,CMA CGM CORDILLERA
CMHIA,CMA CGM BAHIA
CMIA,CMA CGM ROMANIA
CMICO,CMA CGM PACIFICO
CMILA,CMA CGM AGUILA
CMINA,CMA CGM MARINA
CMINE,CMA CGM VERLAINE
CMIRE,CMA CGM VOLTAIRE
CMISE,CMA CGM TURQUOISE
CMITY,CMA CGM INTENSITY
CMLAC,CMA CGM LILAC
CMLDA,CMA CGM ESMERALDA
CMLT,CMA CGM LA TRAVIATA
CMM 1,CMA TBM 1
CMNCA,CMA CGM BAHIA BLANCA
CMNCE,CMA CGM EXCELLENCE
CMOGO,CMA CGM TOGO
CMONY,CMA CGM EBONY
CMRES,CMA CGM BUENOS AIRES
CMRRA,CMA CGM SIERRA
CMUAR,CMA CGM JAGUAR
CMUCO,CMA CGM NABUCO
CMUMA,CMA CGM PUMA
CMZAL,CMA CGM QUETZAL
CMZET,CMA CGM BIZET
CNPP,CNP PAITA
COA J,CORONA J
COAGA,CONTI MALAGA
COAMA,COSCO FUKUYAMA
COAR,CONTI ARABELLA
COBAY,CORAL BAY
COCIA,CONTI VALENCIA
CODOR,CONDOR
CODU,COSCO DURBAN
COERA,CORDILLERA
COGDE,COOPER RIVER BRIGDE
COHOU,COSCO FUZHOU
COIAN,CONTI ARABIAN
COLCA,COLCA
COMBA,COLUMBA
COME,CONTI SALOME
CORAD,CONRAD
CORSK,CORNELIUS MAERSK
COSTI,COSCO TIANJIN
COSU,COSCO SURABAYA
COTIA,CONTI TIANJIN
COTRA,CONTI ELEKTRA
CPON,CPO NORFOLK
CRED,CREDO
CRISTA,CRISTINA STAR
CRX J,CRUX J
CSACO,CSAV LUMACO
CSAGO,CSAV CHICAGO
CSAIM,CSAV ITAIM
CSAJA,CSAV LAJA
CSALON,CSAV LONCOMILLA
CSANG,CSCL LIANYUNGANG
CSAPE,CSAV SUAPE
CSAS,CSAV MERESIAS
CSAVPU,CSAV PUYEHUE
CSAVTR,CSAV TRAIGUEN
CSBOA,CSAV BALBOA
CSCIA,CSAV VALENCIA
CSDAM,CSAV ROTTERDAM
CSDEO,CSCL MONTEVIDEO
CSEAL,CSAV MONTREAL
CSEBU,CSAV LEBU
CSEL,CSAV RIO RAPEL
CSELO,CSAV RIO PUELO
CSERU,CSAV PERU
CSETE,CSAV LARAQUETE
CSGAI,CSAV SHANGAI
CSGBO,CSAV NINGBO
CSGUA,CSAV LA LIGUA
CSGUE,CSAV LINGUE
CSHEN,CSAV SHENZHEN
CSHOU,CSCL FUZHOU
CSIAS,CSAV MARESIAS
CSICO,CSAV MEXICO
CSIRO,CSAV RIO DE JANEIRO
CSIS,CSAV PARIS
CSJAI,CSAV ITAJAI
CSJIN,CSAV TIANJIN
CSKER,CSAV RIO BAKER
CSLA,CSAV IHLA BELA
CSLAO,CSAV CALLAO
CSMAY,CSAV LONQUIMAY
CSMBI,CSAV MORUMBI
CSNA,CSA BARCELONA
CSNCO,CSAV LANCO
CSNIR,CSAV PORVENIR
CSNO,CSAV ANDINO
CSNTA,CSAV ATLANTA
CSOLI,CSCL NAPOLI
CSONA,CSAV BARCELONA
CSONG,CSAV HONG KONG
CSORK,CSAV NEW YORK
CSOVA,CSAV GENOVA
CSQUE,CSAV PIRQUE
CSRA,CSAV RAUTEN
CSRAL,CSAV TOTORAL
CSRCA,CSAV PETORCA
CSRGO,CSAV HAMBURGO
CSRIT,CSAV RIO ITATA
CSRNO,CSAV LIVORNO
CSRO,CSAV ROMERAL
CSRU,CSAV RUPANCO
CSSAN,CSAV BUSAN
CSTEN,CSAV RIO TOLTEN
CSTOS,CSAV SANTOS
CSTR,CSAV TRANCURA
CSTUE,CSAV RIO LONTUE
CSUCA,CSAV LAUCA
CSUDO,CSAV PAPUDO
CSULE,CSAV RIO MAULE
DAHE,DA HE
DETER,DEMETER
DIRSK,DIRCH MAERSK
DOLTE,DONATA SCHULTE
DOST,DOVER STRAIT
DUESS,DUBLIN EXPRESS
EAIS,EASTER ISLAND
ECCHO,ECHO
EDDDI,EDDI
ELDER,ELBE TRADER
ELOMA,EL IKOMA
ELORO,EL TORO
ELQUI,ELQUI
EMDER,EMS TRADER
EMHY,EM HYDRA
EMMA,MSC EMMA
ERCA,E.R. CALAIS
ERCAL,ER CALAIS
EREN,ER CUXHAVEN
ERLIN,ER BERLIN
EROBE,ER KOBE
ESDER,ESTETRADER
ESKER,ESTEBROKER
ESLTE,ESTER SCHULTE
ETTNA,ETNA
EULT,EVER ULTRA
EUNI,EVER UNISON
EUSLO,EURUS OSLO
EVACH,EVER REACH
EVDEM,EVER DIADEM
EVECT,EVER RESPECT
EVELIV,EVER LIVELY
EVERF,EVER UNIFIC
EVEU,EVER UNIQUE
EVEULY,EVER ULYSSES
EVEUNI,EVER UNITED
EVEURS,EVER URSULA
EVEUS,EVER USEFUL
EVEVI,EVI
EVGHT,EVER DELIGHT
EVLOP,EVER DEVELOP
EVNTY,EVER DAINTY
EVULT,EVER RESULT
EVUNI,EVER UNICORN
EVUR,EVER URANUS
EVUXE,EVER DELUXE
EYENE,EYRENE
FAAAN,FARUK KAAN
FEANT,FEDERAL PENDANT
FIONA,FIONA
FOLE,FOLEGANDROS
FOUMA,FOUMA
FRANC,FRANCOISE GILOT
FRESS,FREMANTLE EXPRESS
FRON,FRISIA LISSABON
FRTER,FRITZ REUTER
GABSCH,GABRIEL SCHULTE
GEBR,GENOA BRIDGE
GLESS,GLASGOW EXPRESS
GLORY,GLORY
GLRIA,GLORIA
GLRSK,GLASGOW MAERSK
GRIEL,GREETSIEL
GULTE,GUSTAV SCHULTE
HAAND,HANSA KRISTIANSAND
HAASI,HANSA ASIA
HACH,HANJIN CHICAGO
HACO,HANSA COBURG
HACUM,HAMMONIA PACIFICUM
HADAL,HANSA ARENDAL
HAEIM,HANSA THONDHEIM
HAGEN,HANSA BERGEN
HAIM,HANSA TRONDHEIM
HAIMA,HANJIN LIMA
HAINA,HAMMONIA BEROLINA
HAINI,HAMONIA BEROLINI
HAIUM,HAMONIA PLATIUM
HALES,HANJIN VERSAILLES
HALIA,HAMMONIA MASSILIA
HAME,HANSA MEERSBURG
HANAS,HANJIN PUNTA ARENAS
HANBA,HANJIN BASEL
HANEUR,HANSA EUROPE
HANIA,HAMMONIA POMERENIA
HAOMA,HAMMONIA ROMA
HARAS,HANJIN ALGECIRAS
HARGO,HAMBURGO
HARIA,HAMMONIA BAVARIA
HATOS,HANJIN SANTOS
HATZA,HANJIN CONSTANTZA
HAUM,HARMMONIA PALATIUM
HAUNA,HAMMONIA FORTUNA
HAVI,HANJIN VIENNA
HEE S,HELENE S
HELEN,HELEN
HELTE,HENRIETTE SCHULTE
HESSE,HERMAN HESSE
HETIA,HELVETIA
HEUSS,HELENE RUSS
HMUN,HANJIN MUNDRA
HNAUS,HANSA AUSTRALIA
HOESS,HOLSATIA EXPRESS
HSBAFF,HS BAFFIN
HSERT,HS SCHUBERT
HSGER,HS CHALLENGER
HSOTT,HS SCOTT
HSOZ,HS BERLIOZ
HTAIPE,HANJIN TAIPEI
HUESS,HUMBOLDT EXPRESS
HYDOM,HYUNDAI KINGDOM
HYHAI,HYUNDAI SHANGHAI
HYILL,HYUNDAI GOODWILL
HYION,HYUNDAI DOMINION
HYIOT,HYUNDAI PATRIOT
HYKOK,HYUNDAI BANGKOK
HYKYO,HYUNDAI TOKYO
HYLIC,HYUNDAI REPUBLIC
HYMBO,HYUNDAI COLOMBO
HYNAL,HYUNDAI NATIONAL
HYNG,HYUNDAI HONG KONG
HYORE,HYUNDAI SINGAPORE
HYORY,HYUNDAI GLORY
HYRTA,HYUNDAI JAKARTA
HYSAN,HYUNDAI BUSAN
HYUVA,HYUNDAI VANCOUVER
IBINA,IBN SINA
IBUKI,IBUKI
IDSIA,ID ASIA
IGIGA,IGA
IKOMA,IKOMA
IKUGA,IKARUGA
ILELA,ILHA BELA
INABA,INABA
INNES,INES
INRI,INORI
IRBOS,IRENE LOBOS
IRRIS,IRIS
IRUBA,IRENE MARUBA
ITARE,ITAL LUNARE
ITAUNI,ITAL UNIVERSO
ITDIA,ITAL MELODIA
ITESS,ITAJAI EXPRESS
