CodigoNave,NombreNave
ITIDA,ITAL FLORIDA
ITIMA,ITAL MASSIMA
ITLB,ITAL LIBERA
ITLI,ITAL LIRICA
ITUNA,ITAL LAGUNA
IWIRO,IWASHIRO
IWKI,IWAKI
IZIZU,IZU
JAVID,JANDAVID
JING,JING HE
JOHER,JONNI RITSCHER
JOORK,JORK
JPANO,JPO TUCANO
JPULA,JPO VULPECULA
JUA S,JULA S
JUDER,JUIST TRADER
JULI,NORTHERN JULIE
JUTER,JUPITER
KAEDI,KAEDI
KAGA,KARONGA
KALOV,KAPITAN MASLOV
KAMEN,KARMEN
KANAS,KATHARINAS
KOKIS,KOTA LUKIS
KOLA,KOTA LARIS
KOLAM,KOTA LAMBAI
KOLAY,KOTA LAYANG
KOLE,KOTA LEKAS
KOSAR,KOTA LANGSAR
KOTLEG,KOTA LEGIT
KOTLOC,KOTA LOCENG
LAEME,LA BOHEME
LEETO,LETO
LIADO,LIBRA CORCOVADO
LIESS,LIVERPOOL EXPRESS
LIILE,LIBRA CHILE
LIMR,LIMARI
LINIA,LIBRA PATAGONIA
LIOR,LIBRA ECUADOR
LIRIO,LIBRA RIO
LIROI,LIBRA NITEROI
LISB,MSC LISBON
LITOS,LIBRA SANTOS
LOAVI,LONGAVI
LODGE,LOS ANDES BRIDGE
LTCA,LT AFRICA
LTOPA,LT EUROPA
LUAHE,LUOBAHE
LUHE,LUO BA HE
LUTIA,LUTETIA
LYCER,LYKES RACER
MAADT,MAERSK DARMASTADT
MAAKA,MAERSK DHAKA
MAAM,MAERSK ROTTERDAM
MAANA,MARUBA PARANA
MAARA,MAERSK NIAGARA
MAAXI,MARUBA COTOPAXI
MACCA,MAERSK MALACCA
MACHO,MAPOCHO
MACON,MARCON
MADAH,MAERSK JEDDAH
MADER,MARUBA TRADER
MADGE,MACKINAC BRIDGE
MAELA,MANUELA
MAEMA,MAERSK DIADEMA
MAEN,MAERSK DRAMMEN
MAERO,MARUBA PAMPERO
MAERS,MAI RICKMERS
MAES,MAERSK STEPNICA
MAESAR,MAERSK SARNIA
MAESS,MAYA PRINCESS
MAEZA,MAERSK FORTALEZA
MAGAL,MAERSK DONEGAL
MAGOR,MAERSK BOGOR
MAGUA,MARUBA ACONCAGUA
MAHOD,MAERSK VOSHOD
MAHON,MAERSK MARATHON
MAHUE,MARUBA PETROHUE
MAINE,MADELEINE
MAIRA,MAIRA
MAISE,MARUBA ENTERPRISE
MAISO,MAERSK VALPARAISO
MAITO,MATAQUITO
MAIUM,MARE PHOENICIUM
MAIUS,MAERSK VILNIUS
MAJAI,MAERSK ITAJAI
MALAS,MAERSK DALLAS
MALIN,MAERSK DUBLIN
MAMBI,MAERSK JAMBI
MANA,MAERSK RAVENA
MANDA,MARUBA ZONDA
MANGO,MARUBA TANGO
MANHA,MANHATTAN
MANIA,MARCAMPANIA
MANOS,MAERSK MYKONOS
MAO A,MARIO A
MAOGI,MAERSK MESSOLOGI
MAONG,MAERSK HONG KONG
MAONS,MARUBA SIMMONS
MAOPA,MARUBA EUROPA
MAORT,MAERSK WEESTPORT
MAORY,MARUBA VICTORY
MAPPE,MAERSK DIEPPE
MAPUR,MAERSK JAIPUR
MARAN,MARUBA HUASCARAN
MARES,MAERSK DOLORES
MAROY,MARUBA FITZ ROY
MARTA,MAERSK JAKARTA
MARY,MARY VOYAGE
MARYA,MAERSK DANBURYA
MASE,MAERSK SERANGOON
MASEM,MAERSK SEMAKAU
MASIA,MARUBA ASIA
MATER,MAERSK GLOUCESTER
MATON,MAERSK MONCTON
MATOR,MARUBA IMPERATOR
MAURY,MAERSK DRURY
MAUTH,MAERSK FALMOUTH
MAYS,MAERSK DELLYS
MBIL,MSC BILBAO
MEBAY,MERKUR BAY
MEEDA,MEREDA
MENIA,MERCAMPANIA
MERBE,MERKUR BEACH
MNLOA,LOA
MOACY,MOL SUPREMACY
MOARO,MONTE TAMARO
MODOM,MOL WISDOM
MOEAM,MOL DREAM
MOENT,MOL ENDOWMENT
MOERY,MOL BRAVERY
MOEUR,MOL GRANDEUR
MOEZE,MOL SEABREEZE
MOGEN,MOL GENESIS
MOGER,MOL NIGER
MOGRE,MONTE ALEGRE
MOGUA,MONTE ACONCAGUA
MOHAI,MOL SHANGHAI
MOIDE,MOL PRIDE
MOINE,MOL SUNSHINE
MOINT,MOL SPRINT
MOINY,MOL DESTINY
MOISE,MOL SUNRISE
MOISH,MOL WISH
MOISO,MOL VALPARAISO
MOITE,MOL ELITE
MOLADV,MOL ADVANTAGE
MOLAO,MOL CALLAO
MOLGAR,MOL GARLAND
MOLGEN,MOL GENEROSITY
MOLI,MONTE OLIVIA
MOLIA,MOL BRASILIA
MOLP,MOL PARAMOUNT
MOLPRE,MOL PRESTIGE
MOLPRI,MOL PRIORITY
MOLXX,MOL EXPRESS
MONA,MONA LISA
MONCA,MOL INCA
MONCY,MOL EFFICIENCY
MONOR,MOL HONOR
MONTEX,MONTEVIDEO EXPRESS
MONTO,MONTE SARMIENTO
MONVER,MONTE VERDE
MOOAL,MONTE PASCOAL
MOOPA,MONTEMAR EUROPA
MOOSA,MONTE ROSA
MOPR,MOL PROSPERITY
MOPRE,MOL PRECISION
MORSE,MOL UNIVERSE
MOUDE,MOL FORTITUDE
MOUMA,MOL FOUMA
MOVOR,MOL ENDEAVOR
MOWAY,MOL GATEWAY
MOZUL,MONTE AZUL
MSACE,MSC CAPE RACE
MSAGA,MSC MALAGA
MSAGO,MSC CHICAGO
MSAKI,MSC MANDRAKI
MSAMA,MSC YOKOHAMA
MSANS,MSC ANS
MSATA,MSC DONATA
MSATE,MSC FORTUNATE
MSBAL,MSC CRISTOBAL
MSBIA,MSC ZAMBIA
MSCA,MSC CAROLE
MSCAS,MSC CARACAS
MSCCA,MSC CANDICE
MSCIA,MSC VALENCIA
MSCJOA,MSC JOANNA
MSCLI,MSC LISA
MSCME,MSC MARIA ELENA
MSCPIL,MSC PILAR
MSCSH,MSC SHANNON
MSCV,MSC VAISHNAVI R.
MSDEN,MSC SWEDEN
MSDES,MSC ANDES
MSEDO,MSC TOLEDO
MSELA,MSC ANGELA
MSENA,MSC LORENA
MSERU,MSC PERU
MSEV,MAERSK SEVILLE
MSFE,MSC FEDERICA
MSGUE,MSC PRAGUE
MSHON,MSC MARATHON
MSIBO,MSC MARACAIBO
MSILE,MSC CHILE
MSINE,MSC JASMINE
MSJWA,MSC NAJWA
MSKIM,MSC KIM
MSLA,MSC ROSSELLA
MSLE,MSC NICOLE
MSLES,MSC BRUXELLES
MSMA,MSC MADELEINE
MSNIA,MSC EUGENIA
MSNNE,MSC FABIENNE
MSNOS,MSC ROMANOS
MSONA,MSC ANCONA
MSOS,MSC MYKONOS
MSPA,MSC PAMELA
MSPI,MSC PINA
MSQUE,MSC MOZAMBIQUE
MSRIA,MSC VITTORIA
MSRIS,MSC PARIS
MSRO,MSC ROSARIA
MSRRY,MSC KERRY
MSSSA,MSC ALYSSA
MSTHI,MSC ESTHI
MSUCY,MSC LUCY
MSUSA,MSC USA
MSVOS,MSC DAVOS
MSYPT,MSC EGYPT
MSZIA,MSC VENEZIA
MVA J,MV CORONA J
NAE 1,NAVE 1
NAESS,NAVEGANTES EXPRESS
NAIHE,NAXIHE
NE13S,NEW HOPE STAR  V.013S
NEAMA,NED. ATACAMA
NEAN,NED CHUSAN
NEANO,NED. ALTIPLANO
NEDES,NED ANDES
NEENT,NED. CLEMENT
NEGUA,NED ACONCAGUA
NEIA,NEDLLOYD ARAUCANIA
NELCO,NED. ACAPULCO
NENEO,NEPTUNIA MEDITERRANEO
NETAM,NEDLLOYD BANTAM
NETAN,NED. BATAN
NEUA,NED. ACONCAGUA
NIRSK,NICOLINE MAERSK
NLEO,NYK LEO
NOGLE,NORDEAGLE
NOICE,NORTHERN JUSTICE
NOILE,NORTHERN JUVENILE
NOION,NORTHERN PROMOTION
NOLYA,NORASIA ALYA
NORD,NORTHERN DELEGATION
NORIS,NORASIA POLARIS
NORIX,NORASIA BELLATRIX
NORSK,NORA MAERSK
NORV,NORTHERN VIGOUR
NOTIC,NORDATLANTIC
NOTOR,NORDERTOR
NYAGA,NYK FUTAGA
NYAGO,NYK FUTAGO
NYAPH,NYK APHRODITE
NYARA,NYK CLARA
NYAXY,NYK GALAXY
NYBEL,NYK ISABEL
NYELA,NYK ESTRELA
NYEMA,NYK IPANEMA
NYEOR,NYK METEOR
NYICA,NYK VERONICA
NYITO,NYK ESPIRITO
NYKAQ,NYK AQUARIUS
NYKD,NYK DEMETER
NYKL,NYK LIBRA
NYKLOD,NYK LODESTAR
NYKLYR,NYK LYRA
NYLLA,NYK DANIELLA
NYLYN,NYK LYNX
NYNNA,NYK JOANNA
NYOSA,NYK ROSA
NYRIA,NYK MARIA
NYRSK,NYSTED MAERSK
NYSTA,NYK FLORESTA
NYUJI,NYK FUJI
NYULA,NYK PAULA
NYURA,NYK LAURA
NYVIA,NYK SILVIA
OAKL,APL OAKLAND
OCPER,OCEAN PROSPER
OCVIA,OCTAVIA
OMRUM,OM AGARUM
ORION,ORION
P&ANO,P&O NED. ALTIPLANO
P&DA,P&O NEDLLOYD OLINDA
P&MA,P&O NEDLLOYD  DEJIMA
P&NAL,P&O NED. PANTANAL
P&RAT,P&O NEDLLOYD SURAT
P&SAN,P&O NEDLLOYD CHUSAN
P&TAM,P&O NEDLLOYD BANTAM
PAGAL,PANGAL
PAGER,PACIFIC VOYAGER
PALLO,PAPAGALLO
PALTE,PATRICIA SCHULTE
PANA,P & O NEDLLOYD ANTISANA
pasc,PAULA SCHULTE
PATIC,PANATLANTIC
PESUS,PEGASUS
PEVER,PEARL RIVER
PIIMA,PINL DEJIMA
PLUTO,PLUTO
PODA,PONL OLINDA
POGUA,PONL ACONCAGUA
POLCO,PONL ACAPULCO
POMAR,POR CONFIRMAR
PORAT,PONL SURAT
POSAN,PONL CHUSAN
PRPAM,PROVISIONAL PAM
PSCA,P &O NEDLLOYD MUISCA
PTFINO,PORTOFINO
PUCHE,PUELCHE
QUZAL,QUETZAL
RAANA,RAHANA
RAFAE,S. RAFAEL
RAJAN,RANJAN
RAOPA,RATANA SOPA
RDORD,RDO CONCORD
REROS,RETIROS
RHQUA,RHL AQUA
RHTAS,RHL AGILITAS
RIARA,RIO PARA
RIDER,RIO EIDER
RIESS,RIO DE JANEIRO EXPRESS
RIIFF,RIO CARDIFF
RINTE,RIO VALIENTE
RIRDE,RIO VERDE
RIRS,RICKMER RICKMERS
RITA,RIO TAKU
RIWIS,RIVER WISDOM
RODO,RIO ADOUR
RONIA,ROMANIA
ROTT,ROTTERDAM
RSCH,RITA SCHEPERS
RUERS,RUDOLF SCHEPERS
SACA,SANTA FEDERICA
SACAS,SANTA PAULA COCHARCAS
SAFBAN,SAFMARINE BANDAMA
SAFRB,SAN FRANCISCO BRIDGE
SAHUM,SATTHA BHUM
SAITA,SANTA FELICITA
SANA,SANTA GIOVANNA
SANI,SANTA ISABEL
SANIO,SAN ANTONIO
SANNA,SANTA ROSANNA
SANR,SANTA ROSA
SANRE,SANTA REBECCA
SANZA,SANTA FIORENZA
SARUZ,SANTA CRUZ
SASCA,SANTA FRANCESCA
SAUKI,SANUKI
SAUR,SANTA URSULA
SAWAT,SAWAT
SCERN,SCL BERN
SDBR,SAN DIEGO BRIDGE
SEABR,SEATTLE BRIDGE
SEACHI,SEABORD CHILE
SEEER,SEABOARD PIONEER
SEFIC,SEABOARD PACIFIC
SEGER,SEA TIGER
SEICA,SEABOARD AMERICA
SEIDA,SEABOARD FLORIDA
SEII,SEABOARD CHILE II
SEILL,SEALAND ILLINOIS
SEIMA,SEROJA LIMA
SELE,SEABOARD CHILE
SELIA,SEVILLIA
SELLA,SEVILLA
SEMBA,MAERSK SEMBAWANG
SENAN,MAERSK SENANG
SENCE,SEABOARD RELIANCE
SERER,SEABOARD DISCOVERER
SERU,SEABOARD PERU
SETAR,SEABOARD STAR
SETOR,SENATOR
SETSU,SETTSU
SEUMA,SEA PUMA
SEURE,SEABOARD ADVENTURE
SHHE,SHAN HE
SHIMA,SHIMA
SIESS,SINGAPORE EXPRESS
SITEN,SIGRUN BOLTEN
SLRER,SLOMAN DISCOVERER
SMEN,S BREMEN
SOIOU,SORMIOU
SOOGA,SOGA
SOWER,SOUL TOWER
SPIHAM,SPIRIT OF HAMBURG
SRAFAE,SANTA RAFAELA
STBAR,SANTA BARBARA
STDEN,STADT EMDEN
STEN,STADT MUNCHEN
STJE,STADT JENA
STMAR,STADT WISMAR
STTA,STA MARGARITA
SUESS,SUAPE EXPRESS
SUIDA,SUMIDA
SUNA,SUKAYNA
SUNOAS,SUNNY OASIS
SUROG,SUDEROG
SZDER,SZCZECIN TRADER
TABEA,TABEA
TADER,TASMAN CRUSADER
TASSA,TALASSA
TBTBA,TBA
TBTBN,TBN
THAM,THORSTREAM
THEAS,THEAS
THLTE,THEKLA SCHULTE
THTAR,THOR NECTAR
THUNE,THOR NEPTUNE
TITAN,TITAN
TMLGO,TMM HIDALGO
TOCO,CSAV TOCONAO
TOE S,TORGE S
TOUR,APL TOURMALINE
TUGE,TUSCANY BRIDGE
ULHER,ULF RITSCHER
UNERT,UNI CONCERT
UNUNE,UNI FORTUNE
UNVER,UNIFOREVER
URNUS,URANUS
VADGE,VALENCIA BRIDGE
VAER,VANCOUVER
VAESS,VALPARAISO EXPRESS
VAURE,VADO LIGURE
VAVIA,VALDIVIA
VERO,MSC VERONIQUE
VIAIT,VICTORIA STRAIT
VIGLE,VIKING EAGLE
VIITY,VITALITY
VIRIA,VICTORIA
VLRNA,VLAHERNA
WA512,WAN HAI 512
WAALE,WARNOW  WHALE
WAH516,WAN HAI 516
WAHA5,WAN HAI 515
WAHA51,WAN HAI 517
WAHAI,WAN HAI
WAHE,WANHE
WANHAI,WAN HAI 513
WARN,WARNOW DOLPHIN
WASH,WASHINGTON
WAYAN,WADI ALRAYAN
WEAMM,WESTERHAMM
WEAVE,WEHR TRAVE
WECB,WEC BRUEGHEL
WEECH,WESTERDIECH
WEEK,WEHR FLOTTBEK
WEENZ,WEHR KOBLENZ
WEESE,WEHR BLANKENESE
WEICH,WESTERDEICH
WELLIN,WELLINGTON EXPRESS
WEOOR,WESTERMOOR
WESER,WEHR WESER
WHA51,WAN HAI 511
WHSEA,WHITE SEA
WHTEN,WHER NIENSTEDTEN
WIILA,WILA
XCHW,XIN CHI WAN
XFZH,XIN FU ZHOU
XIANEN,XIANXIA MEN
XINMIN,XIN MING ZHOU
XINN,XIN NING BO
XXMN,XIN XIA MEN
YEEA,YELLOW SEA
YRNE,YRENE
ZRIN,ZRIN
